"RANK","TEAM","ATHLETE","SETS WON","GAMES WON"
"1","#FF8F28","De La Cruz, B.","120","60"
"2","#FF8F28","Sybeldon, L.","120","60"
"3","#FF8F28","Stalzer, L.","120","60"
"4","#FF8F28","Hunter, K.","120","60"
"5","#FF8F28","Lowe, K.","120","60"
"6","#FF8F28","Vélez Agosto, N.","120","60"
"7","#FF8F28","Grant, N.","120","60"
"8","#FF8F28","Lohman, M.","120","60"
"9","#FF8F28","Freeman, S.","120","60"
"10","#FF8F28","Fairs, E.","120","60"
"11","#FF8F28","Handley, E.","120","60"
"12","#8C4799","Nwanebu, E.","0","0"
"13","#8C4799","Bruns, T.","0","0"
"14","#8C4799","Lichtman, C.","0","0"
"15","#8C4799","Crocker, C.","0","0"
"16","#8C4799","Clark, T.","0","0"
"17","#8C4799","Bastianelli, A.","0","0"
"18","#8C4799","Aliyeva, O.","0","0"
"19","#8C4799","Abbott, S.","0","0"
"0","#8C4799","Carter, K.","",""
"0","#8C4799","Michel, C.","",""
"0","#8C4799","Peterson, A.","",""
