"RANK","TEAM","ATHLETE","1ST PLACE","2ND PLACE","3RD PLACE"
"1","#1C9AD6","Cruz, A.","60","0","0"
"2","#1C9AD6","King, B.","0","40","0"
"3","#1C9AD6","Edmond, L.","0","0","20"
"4","#1C9AD6","Atkinson, S.","0","0","0"
"5","#1C9AD6","McCage, M.","0","0","0"
"6","#1C9AD6","Sandbothe, T.","0","0","0"
"7","#1C9AD6","Clark, T.","0","0","0"
"8","#1C9AD6","Manns, K.","0","0","0"
"9","#1C9AD6","Michel, C.","0","0","0"
"10","#1C9AD6","Castro, S.","0","0","0"
"11","#FF8F28","Aliyeva, O.","0","0","0"
"12","#FF8F28","Gibbemeyer, L.","0","0","0"
"13","#FF8F28","Lowe, K.","0","0","0"
"14","#FF8F28","Rosado, D.","0","0","0"
"15","#FF8F28","Crocker, C.","0","0","0"
"16","#FF8F28","Bruns, T.","0","0","0"
"17","#FF8F28","Handley, E.","0","0","0"
"18","#FF8F28","Abbott, S.","0","0","0"
"19","#FF8F28","Fairs, E.","0","0","0"
"0","#FF8F28","Carter, K.","","",""
"0","#FF8F28","Holman, B.","","",""
