"RANK","TEAM","ATHLETE","1ST PLACE","2ND PLACE","3RD PLACE"
"1","#1C9AD6","Edmond, L.","60","0","0"
"2","#1C9AD6","Nwanebu, E.","0","40","0"
"3","#1C9AD6","Lichtman, C.","0","0","20"
"4","#1C9AD6","Clark, T.","0","0","0"
"5","#1C9AD6","Morgan, T.","0","0","0"
"6","#1C9AD6","Nichol, V.","0","0","0"
"7","#1C9AD6","Sandbothe, T.","0","0","0"
"8","#1C9AD6","Bruns, T.","0","0","0"
"9","#1C9AD6","Freeman, S.","0","0","0"
"10","#1C9AD6","Michel, C.","0","0","0"
"11","#1C9AD6","Wilson, E.","0","0","0"
"12","#DAAA00","Cruz, A.","0","0","0"
"13","#DAAA00","McCage, M.","0","0","0"
"14","#DAAA00","Seliger-Swenson, S.","0","0","0"
"15","#DAAA00","Tupac, K.","0","0","0"
"16","#DAAA00","Carter, K.","0","0","0"
"17","#DAAA00","Fairs, E.","0","0","0"
"18","#DAAA00","Abbott, S.","0","0","0"
"19","#DAAA00","Lohman, M.","0","0","0"
"20","#DAAA00","Handley, E.","0","0","0"
"21","#DAAA00","Wieser, K.","0","0","0"
"22","#DAAA00","Johnson, W.","0","0","0"
