"RANK","TEAM","ATHLETE","1ST PLACE","2ND PLACE","3RD PLACE"
"1","#FF8F28","Larson, J.","60","0","0"
"2","#FF8F28","Cruz, A.","0","40","0"
"3","#FF8F28","Nwanebu, E.","0","0","0"
"4","#FF8F28","Clark, T.","0","0","20"
"5","#FF8F28","Manns, K.","0","0","0"
"6","#FF8F28","Gibbemeyer, L.","0","0","0"
"7","#FF8F28","Sandbothe, T.","0","0","0"
"8","#FF8F28","Bruns, T.","0","0","0"
"9","#FF8F28","Michel, C.","0","0","0"
"10","#FF8F28","Wilson, E.","0","0","0"
"11","#FF8F28","Carter, K.","0","0","0"
"12","#DAAA00","Lichtman, C.","0","0","0"
"13","#DAAA00","Tupac, K.","0","0","0"
"14","#DAAA00","McCage, M.","0","0","0"
"15","#DAAA00","Sybeldon, L.","0","0","0"
"16","#DAAA00","Nichol, V.","0","0","0"
"17","#DAAA00","De La Cruz, B.","0","0","0"
"18","#DAAA00","Castro, S.","0","0","0"
"19","#DAAA00","Seliger-Swenson, S.","0","0","0"
"0","#DAAA00","Wieser, K.","","",""
"0","#DAAA00","Fairs, E.","","",""
"0","#DAAA00","Pickrell, K.","","",""
